reading:ecoK12_mgen.blast.txt	cutoff:1e-08
GH2R-198-MONOMER	JW1305-MONOMER	23.02	278	198	6	43	318	17	280	1e-14	69.7	318	280
GH2R-198-MONOMER	JW3416-MONOMER	27.54	138	94	2	174	311	147	278	6e-14	67.8	318	281
GH2R-197-MONOMER	JW3417-MONOMER	29.06	117	80	2	118	232	98	213	3e-11	60.5	329	295
GH2R-196-MONOMER	JW3415-MONOMER	37.55	253	144	3	341	583	108	356	4e-39	144	585	356
GH2R-196-MONOMER	JW3415-MONOMER	41.00	100	59	0	18	117	15	114	2e-20	89.7	585	356
GH2R-196-MONOMER	JW1311-MONOMER	46.43	168	81	2	341	506	108	268	4e-33	127	585	322
GH2R-196-MONOMER	JW1311-MONOMER	40.00	95	57	0	23	117	20	114	2e-20	89.7	585	322
GH2R-196-MONOMER	JW3995-MONOMER	39.71	209	106	4	341	533	107	311	3e-32	125	585	371
GH2R-196-MONOMER	JW3995-MONOMER	41.03	117	68	1	6	121	2	118	6e-23	97.8	585	371
GH2R-196-MONOMER	JW0254-MONOMER	51.00	100	49	0	5	104	4	103	6e-30	118	585	348
GH2R-196-MONOMER	JW0254-MONOMER	40.11	177	101	4	366	540	135	308	2e-28	114	585	348
GH2R-196-MONOMER	JW2415-MONOMER	31.20	234	149	4	357	584	126	353	5e-28	113	585	365
GH2R-196-MONOMER	JW2415-MONOMER	50.00	98	49	0	7	104	2	99	1e-25	106	585	365
GH2R-196-MONOMER	JW1112-MONOMER	48.91	137	68	1	344	480	124	258	1e-26	108	585	378
GH2R-196-MONOMER	JW1112-MONOMER	43.30	97	55	0	8	104	18	114	3e-21	92.8	585	378
GH2R-196-MONOMER	JW1436-MONOMER	47.97	123	64	0	348	470	115	237	6e-26	106	585	337
GH2R-196-MONOMER	JW1436-MONOMER	37.76	98	61	0	7	104	4	101	3e-20	89.4	585	337
GH2R-196-MONOMER	JW5818-MONOMER	40.00	100	60	0	8	107	20	119	1e-23	100	585	377
GH2R-196-MONOMER	JW5818-MONOMER	33.68	190	104	4	298	484	94	264	2e-21	93.2	585	377
GH2R-196-MONOMER	JW2652-MONOMER	40.50	121	72	0	348	468	145	265	7e-19	85.9	585	400
GH2R-196-MONOMER	JW2652-MONOMER	35.48	93	54	1	18	104	39	131	6e-15	73.9	585	400
GH2R-196-MONOMER	JW3162-MONOMER	34.29	105	58	2	8	104	9	110	7e-17	78.2	585	269
GH2R-196-MONOMER	JW0358-MONOMER	40.21	97	55	2	8	104	2	95	7e-17	78.2	585	255
GH2R-196-MONOMER	JW0358-MONOMER	37.14	140	76	3	326	465	96	223	4e-09	54.7	585	255
GH2R-196-MONOMER	JW2117-MONOMER	40.00	120	72	0	363	482	130	249	7e-17	78.6	585	308
GH2R-196-MONOMER	JW2117-MONOMER	34.38	96	61	1	8	101	2	97	3e-12	65.1	585	308
GH2R-196-MONOMER	JW5104-MONOMER	37.00	100	62	1	4	102	326	425	6e-16	77.8	585	578
GH2R-196-MONOMER	JW5104-MONOMER	34.48	87	54	2	22	107	22	106	6e-09	55.5	585	578
GH2R-196-MONOMER	JW0794-MONOMER	36.36	110	65	2	8	112	2	111	7e-16	74.7	585	240
GH2R-196-MONOMER	JW0794-MONOMER	34.38	128	83	1	341	468	110	236	1e-09	56.2	585	240
GH2R-196-MONOMER	JW0479-MONOMER	35.24	105	65	2	1	103	1	104	2e-15	73.6	585	225
GH2R-196-MONOMER	JW0065-MONOMER	42.31	78	45	0	27	104	19	96	2e-15	73.6	585	232
GH2R-196-MONOMER	JW1902-MONOMER	37.74	106	56	2	6	101	2	107	2e-14	70.5	585	250
GH2R-196-MONOMER	JW1902-MONOMER	38.40	125	72	2	348	468	125	248	1e-10	59.3	585	250
GH2R-196-MONOMER	JW3420-MONOMER	34.02	97	61	2	8	101	6	102	2e-13	67.8	585	255
GH2R-196-MONOMER	JW5162-MONOMER	34.23	111	63	3	4	104	2	112	3e-13	67	585	233
GH2R-196-MONOMER	JW3428-MONOMER	26.50	117	81	1	17	128	12	128	6e-13	65.5	585	222
GH2R-196-MONOMER	JW0195-MONOMER	33.62	116	68	2	8	114	2	117	7e-13	67	585	343
GH2R-196-MONOMER	JW5286-MONOMER	30.61	98	65	1	10	104	4	101	8e-13	65.1	585	217
